v	Gates	Layers	Fcalls	E0	Overlap	Success
v72	5369006	71	105673	-20.672722500000003	3.0038343965342384e-05	SUCCESS
v73	2974586	70	59350	-14.2197	6.947532216221586e-06	SUCCESS
v74	2446862	66	49928	-18.678765	0.006868153533477462	SUCCESS
v75	2365562	66	48654	-19.0855275	0.027007001060149565	SUCCESS
v76	1771108	65	38287	-17.428967500000002	0.0002871799838057733	SUCCESS
v77	4990290	69	99652	-17.412319999999998	0.001388266789670352	SUCCESS
v78	2101102	61	48220	-20.417605	0.0013882667896704104	SUCCESS
v79	2267102	65	46835	-15.938769999999998	0.004518529302059644	SUCCESS
v80	2429934	67	51119	-17.6702875	0.003000777895572125	SUCCESS
v81	2893102	69	58226	-14.219700000000003	6.947532216221481e-06	SUCCESS
v82	2318700	65	48970	-16.899517499999998	0.0015916325312862638	SUCCESS
v83	2478888	67	51984	-14.523529999999994	0.0005020588113399637	SUCCESS
