Gates	Layers	Fcalls	E0	Overlap	Success
304	4	106	6.863432196308237	0.0009778077803373028	SUCCESS
356	4	117	4.551832134685924	0.0004117227589559268	SUCCESS
668	5	179	0.7649151979374244	0.018183609449973305	SUCCESS
268	4	89	1.2486808309906665	0.42873893803734664	SUCCESS
204	4	75	-0.0479941006303215	0.6223520646711985	SUCCESS
302	4	104	6.735206478672376	0.043284204257926354	SUCCESS
616	5	171	5.974479189535273	0.033007797670031314	SUCCESS
666	5	202	2.7670657183433365	0.006278730235166592	SUCCESS
386	4	130	5.075198363604173	0.025925126714427135	SUCCESS
346	4	123	2.86883556713783	0.006607820621276383	SUCCESS
258	4	87	0.9167175401619034	0.47131606026698675	SUCCESS
338	4	115	6.995592820268562	9.825601825049919e-06	SUCCESS
298	4	105	4.931758616163394	0.03101762214461116	SUCCESS
272	4	105	6.85924974816129	0.029119402289546823	SUCCESS
256	4	92	7.295938666189958	0.04529695080957422	SUCCESS
282	4	95	0.5243611540171955	0.6268060459117797	SUCCESS
282	4	95	-1.1362758291893882	0.47090947625994983	SUCCESS
318	4	109	4.431236864891838	0.027163238654607156	SUCCESS
208	4	74	3.5771027300550267	0.3193989259654993	SUCCESS
316	4	102	3.789695824266059	0.13660836837889373	SUCCESS
250	4	86	0.993513806735222	0.4436428471731666	SUCCESS
268	4	93	3.4094850450728216	0.17671089759890868	SUCCESS
290	4	100	5.540428682501258	0.0019392664385666843	SUCCESS
250	4	86	-0.6952914923586582	0.6205794255142033	SUCCESS
178	4	67	-0.34094344864592263	0.6557096980128551	SUCCESS
272	4	93	5.76566528696404	0.054509761903829855	SUCCESS
266	4	94	5.397921454337421	0.07146027153660076	SUCCESS
452	5	134	4.8319656933978266	0.09534505863917966	SUCCESS
190	4	71	1.9100559983503338	0.36453070270623633	SUCCESS
586	5	169	1.419839652814157	0.12763091639908963	SUCCESS
264	4	92	5.562021556390686	0.004195162101812657	SUCCESS
246	4	89	4.561662158082828	0.02394782388452448	SUCCESS
216	4	75	-0.509618457472292	0.6581360752334092	SUCCESS
280	4	94	4.7698101699940185	0.11922373902869984	SUCCESS
270	4	91	-1.4613748286164365	0.6761545994417955	SUCCESS
266	4	94	6.525153489414393	0.0007628642078149312	SUCCESS
250	4	86	1.0550911549508464	0.508447811828559	SUCCESS
296	4	106	4.752782196162679	0.03506726658650698	SUCCESS
368	4	128	6.515772335103023	0.01445724427402204	SUCCESS
474	4	156	4.043307635123616	0.0003450639521042388	SUCCESS
262	4	90	2.7885161607669677	0.2747662640599922	SUCCESS
292	4	105	6.662193582167546	6.931656167846574e-05	SUCCESS
274	4	102	6.260610519448176	0.00526742960578678	SUCCESS
280	4	97	3.6741649460458885	0.07913784690004701	SUCCESS
190	4	71	1.2693341289762938	0.1928171207747639	SUCCESS
272	4	93	3.840382126972599	0.11557128804544718	SUCCESS
172	4	64	-1.6463117750934206	0.7795701318382211	SUCCESS
354	4	114	4.432766782311164	0.12144294049724827	SUCCESS
264	4	90	3.5367880549324653	0.07680181789802394	SUCCESS
250	4	98	6.52331423739701	0.07364623451173037	SUCCESS
262	4	90	0.7916834972723892	0.43593293284840473	SUCCESS
142	3	60	2.046166796406875	0.41386436967685136	SUCCESS
214	4	80	2.6425192302113127	0.06246571648939053	SUCCESS
382	4	142	7.366335100763051	1.5658011325833502e-05	SUCCESS
230	4	81	2.687849710044761	0.33344478437188096	SUCCESS
234	4	82	3.454105219607352	0.022263048010737176	SUCCESS
464	5	141	5.276478637572878	0.009533890653434076	SUCCESS
240	4	88	4.585560687723336	0.03142417847930412	SUCCESS
314	4	108	4.137213862026103	0.0005051993707065098	SUCCESS
