Gates	Layers	Fcalls	E0	Overlap	Success
2570	9	414	-8.239687383351292	0.20942151311373403	SUCCESS
2554	9	420	-11.24247924139803	0.04146683965975968	SUCCESS
4712	9	787	-2.5532288760545976	0.07018088299228722	SUCCESS
2748	9	446	-10.372317599100853	0.08221353688260402	SUCCESS
2504	9	416	-13.152988347066016	0.22078766725094376	SUCCESS
2054	8	367	-9.796470170554604	0.007488000790936904	SUCCESS
3094	9	475	-9.929732697352705	0.1961647432562031	SUCCESS
2546	9	423	-11.323384754677905	0.06220296770927518	SUCCESS
3762	9	595	-12.024182633553977	0.0003704265780550786	SUCCESS
2692	9	429	-9.661780956022884	0.1442932225361068	SUCCESS
2758	9	453	-10.891214425660362	0.1673851385236979	SUCCESS
2606	9	433	-12.201711165584925	0.20425300267972973	SUCCESS
2854	9	460	-10.563893220032156	0.32320232294761875	SUCCESS
2460	9	417	-9.89988442102319	0.020350834941106045	SUCCESS
3310	9	513	-10.790526142263005	0.018580128633114007	SUCCESS
2838	9	450	-11.942746038888881	0.0027485739620042525	SUCCESS
1970	8	353	-10.706563483472312	0.13558203195336835	SUCCESS
2860	9	460	-11.266587542170008	0.003303535779095817	SUCCESS
2832	9	467	-9.145984033365293	0.022191120799175856	SUCCESS
3192	9	507	-11.586445545795678	0.11414887549577317	SUCCESS
3454	9	520	-12.447103748046729	0.0006056464815779983	SUCCESS
2720	9	428	-13.477613780737647	0.25747145954478917	SUCCESS
2792	9	439	-12.308486902872389	0.18312440223374546	SUCCESS
3156	9	512	-7.57931731488177	0.03353788887781852	SUCCESS
1968	8	352	-10.879599542596786	0.22640128331579765	SUCCESS
1930	8	347	-11.52255219519272	0.11395490224748993	SUCCESS
1984	8	351	-10.898400466680359	0.03334495047972467	SUCCESS
2786	9	447	-9.551911738938092	0.018081745958229423	SUCCESS
2310	8	400	-12.31349320603644	0.10993571360332652	SUCCESS
2390	8	430	-3.7603026028192876	0.0015640913512735462	SUCCESS
2424	9	400	-9.301970455327975	0.20897979143191117	SUCCESS
3292	9	506	-12.273377994792726	0.040743443711277735	SUCCESS
3168	9	522	-8.61252200206929	0.15237949440492196	SUCCESS
3096	9	517	-7.33796015708587	0.0452761240766746	SUCCESS
2832	9	448	-12.187917466174344	0.004605533615486291	SUCCESS
2990	9	484	-13.96580186186902	0.36635570152033586	SUCCESS
2566	9	421	-12.958037310861481	0.11289831464409668	SUCCESS
2696	9	443	-12.083857985580492	0.011739883448025833	SUCCESS
2222	8	381	-11.038240245178844	0.019618614387632703	SUCCESS
2850	9	453	-9.138168020533962	0.1412088613421523	SUCCESS
3044	9	482	-12.167904666910848	0.037329200208098774	SUCCESS
2908	9	474	-5.288060648934858	0.01561613316117241	SUCCESS
3042	9	481	-11.586932652788121	0.020968328238909244	SUCCESS
2600	9	416	-7.8863367956259935	0.03250388192408816	SUCCESS
2616	9	431	-13.611854171473666	0.3597700636346394	SUCCESS
2178	8	379	-8.513753049079751	0.15822743444151174	SUCCESS
3224	9	529	-7.1139343265552695	0.018321422524664784	SUCCESS
2864	9	470	-8.337757601188224	0.03531936273495693	SUCCESS
2774	9	436	-12.940886481488505	0.10639076899504922	SUCCESS
3092	9	504	-10.151066789664224	0.11440224521335353	SUCCESS
2088	8	364	-11.837027482255735	0.12389739928975108	SUCCESS
2318	8	429	-8.042499254589274	0.018399241168944716	SUCCESS
2586	9	428	-11.36541208140724	0.14990219257736886	SUCCESS
3102	9	490	-11.868632432234895	0.015103240142307985	SUCCESS
2960	9	463	-10.571200835570158	0.007421891178134423	SUCCESS
3088	9	532	-10.382403717873792	0.001306617730101905	SUCCESS
2940	9	472	-10.144723532813899	0.03418043710206504	SUCCESS
2432	9	401	-12.563076500812306	0.3799229990639146	SUCCESS
2984	9	474	-12.599974716933453	0.16291277562534734	SUCCESS
2550	9	424	-11.5160005286562	0.2138825061925622	SUCCESS
2704	9	428	-12.305819275566346	0.44131898148908627	SUCCESS
2746	9	444	-11.415075106766874	0.18781793357890234	SUCCESS
